Cut Name,TTTo2L2Nu,TTToSemiLeptonic,TTWJetsToLNu,TTZToLLNuNu,ttHJetToNonbb,ttHJetTobb,WJetsToLNuHT0To70,WJetsToLNuHT70To100,WJetsToLNuHT100To200,WJetsToLNuHT200To400,WJetsToLNuHT400To600,WJetsToLNuHT600To800,WJetsToLNuHT800To1200,WJetsToLNuHT1200To2500,WJetsToLNuHT2500ToInf,ALLTOP,WJetsToLNu,Signal,VBSWZH,OSVBSWWH,SSVBSWWH,
raw,69327 +- 0,8.7448e+05 +- 0,1.0599e+05 +- 0,27711 +- 0,42464 +- 0,29292 +- 0,799 +- 0,1 +- 0,2 +- 0,117 +- 0,11137 +- 0,1.3039e+05 +- 0,1.9306e+05 +- 0,5.1552e+05 +- 0,2.3577e+05 +- 0,1.1493e+06 +- 0,1.086e+06 +- 0,1.5227e+05 +- 0,36665 +- 0,52689 +- 0,62916 +- 0,
total,2829.8 +- 11.35,45618 +- 51.404,261.51 +- 1.1712,49.277 +- 0.43395,127.51 +- 1.1387,62.951 +- 0.66732,28054 +- 1005.6,1.2295 +- 1.2295,3.5722 +- 2.6567,47.327 +- 4.6461,4719.2 +- 47.132,12918 +- 37.528,9904.6 +- 23.796,6229.5 +- 9.0005,198.77 +- 0.41488,48949 +- 52.674,34022 +- 65.631,231.04 +- 0.63299,46.501 +- 0.25529,100.65 +- 0.46104,83.89 +- 0.35064,
leptonptcut,2687.8 +- 10.802,43309 +- 48.894,248.38 +- 1.1148,46.428 +- 0.40944,121.14 +- 1.0861,59.883 +- 0.63627,26481 +- 953.71,1.227 +- 1.227,3.5939 +- 2.6804,44.708 +- 4.4086,4462.4 +- 44.738,12231 +- 35.654,9423.5 +- 22.674,5915.9 +- 8.5708,189.04 +- 0.39541,46472 +- 50.103,32271 +- 62.358,221.07 +- 0.60613,44.477 +- 0.24443,96.258 +- 0.44131,80.339 +- 0.33601,
fatbtag_t,725.82 +- 5.5959,7681.9 +- 20.508,59.614 +- 0.53214,11.273 +- 0.19838,24.03 +- 0.48154,32.843 +- 0.48028,378.15 +- 115.8,0 +- 0,0 +- 0,0.29739 +- 0.29739,39.987 +- 4.2868,180.87 +- 4.3565,141.7 +- 2.7783,85.241 +- 1.0233,2.1596 +- 0.042166,8535.5 +- 21.276,450.25 +- 6.7979,114.48 +- 0.43491,24.159 +- 0.18028,49.004 +- 0.31408,41.313 +- 0.24084,
Wjet,725.82 +- 5.5959,7681.9 +- 20.508,59.614 +- 0.53214,11.273 +- 0.19838,24.03 +- 0.48154,32.843 +- 0.48028,378.15 +- 115.8,0 +- 0,0 +- 0,0.29739 +- 0.29739,39.987 +- 4.2868,180.87 +- 4.3565,141.7 +- 2.7783,85.241 +- 1.0233,2.1596 +- 0.042166,8535.5 +- 21.276,450.25 +- 6.7979,114.48 +- 0.43491,24.159 +- 0.18028,49.004 +- 0.31408,41.313 +- 0.24084,
vbsjet,428.89 +- 4.286,5035.2 +- 16.578,27.663 +- 0.39453,6.4914 +- 0.15646,16.819 +- 0.41748,22.557 +- 0.42063,191.18 +- 85.832,0 +- 0,0 +- 0,0 +- 0,3.5862 +- 1.2612,41.397 +- 2.0701,54.808 +- 1.7246,46.433 +- 0.75351,1.3138 +- 0.032935,5537.6 +- 17.138,147.54 +- 3.069,84.589 +- 0.37288,18.139 +- 0.15597,36.468 +- 0.27026,29.983 +- 0.20413,
Mjj,428.89 +- 4.286,5035.2 +- 16.578,27.663 +- 0.39453,6.4914 +- 0.15646,16.819 +- 0.41748,22.557 +- 0.42063,191.18 +- 85.832,0 +- 0,0 +- 0,0 +- 0,3.5862 +- 1.2612,41.397 +- 2.0701,54.808 +- 1.7246,46.433 +- 0.75351,1.3138 +- 0.032935,5537.6 +- 17.138,147.54 +- 3.069,84.589 +- 0.37288,18.139 +- 0.15597,36.468 +- 0.27026,29.983 +- 0.20413,
detajj,428.89 +- 4.286,5035.2 +- 16.578,27.663 +- 0.39453,6.4914 +- 0.15646,16.819 +- 0.41748,22.557 +- 0.42063,191.18 +- 85.832,0 +- 0,0 +- 0,0 +- 0,3.5862 +- 1.2612,41.397 +- 2.0701,54.808 +- 1.7246,46.433 +- 0.75351,1.3138 +- 0.032935,5537.6 +- 17.138,147.54 +- 3.069,84.589 +- 0.37288,18.139 +- 0.15597,36.468 +- 0.27026,29.983 +- 0.20413,
detatest,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,0 +- 0,
ST,197.51 +- 2.8986,1663 +- 9.5198,12.593 +- 0.26963,2.7647 +- 0.099623,5.9463 +- 0.25344,10.129 +- 0.28748,191.18 +- 85.832,0 +- 0,0 +- 0,0 +- 0,0 +- 0,4.8315 +- 0.70782,22.876 +- 1.1106,38.883 +- 0.68961,1.2911 +- 0.032658,1892 +- 9.9628,67.882 +- 1.487,80.101 +- 0.3628,17.056 +- 0.15139,34.196 +- 0.26186,28.849 +- 0.20034,
